job_retired,job_student,default_unknown,contact_cellular,contact_telephone,month_dec,month_mar,month_may,month_oct,month_sep,poutcome_success,pdays,previous,emp_var_rate,euribor3m,nr_employed,cons_price_idx,cons_conf_idx,y
0,0,0,1,0,0,0,0,0,0,0,0,0,-0.1,4.191,5195.8,0.932,-42.0,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1.1,4.857,5191.0,0.93994,-36.4,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,4.962,5228.1,0.93918,-42.7,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,4.958,5228.1,0.93918,-42.7,0
0,0,0,1,0,0,0,0,0,0,0,0,1,-0.1,4.0760000000000005,5195.8,0.932,-42.0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,-1.8,1.3130000000000002,5099.1,0.9289299999999998,-46.2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1.4,4.963,5228.1,0.93918,-42.7,0
0,0,0,0,1,0,0,0,0,1,0,0,0,-1.1,0.884,4963.6,0.94199,-37.5,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,4.963,5228.1,0.9344399999999999,-36.1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1.4,4.958,5228.1,0.93918,-42.7,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1.1,4.857,5191.0,0.93994,-36.4,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,4.962,5228.1,0.93918,-42.7,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1.1,4.86,5191.0,0.93994,-36.4,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1.1,4.857,5191.0,0.93994,-36.4,0
0,0,0,1,0,0,0,0,0,0,0,0,1,-1.8,1.405,5099.1,0.93075,-47.1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,1.4,4.962,5228.1,0.94465,-41.8,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,4.965,5228.1,0.9344399999999999,-36.1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,-1.7,0.89,4991.6,0.94027,-38.3,0
