euribor3m,nr_employed,emp_var_rate,contact_cellular,cons_price_idx,cons_conf_idx,pdays,day_of_week_mon,day_of_week_wed,day_of_week_thu,previous,marital_married,day_of_week_tue,marital_single,job_blue-collar,job_admin.,education_high.school,education_university.degree,poutcome_failure,education_basic,job_technician,marital_divorced,default_no,y
1.266,5099.1,-1.8,1,0.9289299999999998,-46.2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
4.957,5228.1,1.4,1,0.9391799999999999,-42.7,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1.268,5076.2,-2.9,1,0.92963,-40.8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
4.963,5228.1,1.4,1,0.93444,-36.1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1.268,5076.2,-2.9,0,0.92963,-40.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
0.773,5017.5,-3.4,1,0.92379,-29.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.737,5017.5,-3.4,1,0.92431,-26.9,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
1.25,5099.1,-1.8,1,0.9289299999999998,-46.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0.6439426440115337,5008.7,-1.8,0,0.9356444881890428,-34.69713220057669,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.884,5076.2,-2.9,1,0.92201,-31.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1.483,5099.1,-1.8,1,0.93075,-47.1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
4.857,5191.0,1.1,0,0.93994,-36.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4.021,5195.8,-0.1,0,0.932,-42.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4.021,5195.8,-0.1,0,0.932,-42.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
1.2781289396869857,5099.1,-1.8,1,0.9289299999999998,-46.2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
4.054718447453471,5195.8,-0.1,1,0.932,-42.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
4.967,5228.1,1.4,1,0.93444,-36.1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0.6802628045925493,5008.7,-1.8,1,0.93876,-40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1.2799890120716808,5076.2,-2.9,1,0.92963,-40.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
1.2534820027827072,5099.1,-1.8,1,0.9289299999999998,-46.2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
4.856,5191.0,1.1,0,0.93994,-36.4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0.987,4963.6,-1.1,1,0.94601,-49.5,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
4.857,5191.0,1.1,0,0.93994,-36.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4.8580000000000005,5191.0,1.1,0,0.93994,-36.4,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
